City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
179,puerto castilla,HN,16.02,-85.97,1602861216,84.2,79,40,14.99
180,diego de almagro,CL,-26.37,-70.05,1602861216,80.96,16,0,8.34
181,liepaja,LV,56.54,21.04,1602861217,46.4,75,62,4.7
182,rawson,AR,-43.3,-65.1,1602861217,81.43,26,9,13.44
183,lavrentiya,RU,65.58,-171,1602860972,38.88,93,100,29.97
184,karaton,ID,-6.34,106.1,1602861217,81,88,40,5.82
185,tautira,PF,-17.73,-149.15,1602861217,77,78,100,16.11
186,vardo,NO,70.37,31.11,1602860960,33.8,80,40,5.82
187,alofi,NU,-19.06,-169.92,1602861005,75.2,88,80,5.82
188,arona,ES,28.1,-16.68,1602861217,77,57,20,19.46
189,bethel,US,41.37,-73.41,1602861218,57.2,82,90,8.05
190,reconquista,AR,-29.15,-59.65,1602861218,79.86,48,55,5.48
191,itaberai,BR,-16.02,-49.81,1602861218,95.43,28,41,3.98
192,ribeira grande,PT,38.52,-28.7,1602861218,73.4,69,20,8.05
193,vallentuna,SE,59.53,18.08,1602861218,45,81,75,6.93
194,sabzevar,IR,36.21,57.68,1602860979,66.2,20,0,6.93
195,pangnirtung,CA,66.15,-65.71,1602860999,41,65,90,5.82
196,morehead,US,37.27,-87.18,1602861218,51.8,51,1,3.65
197,sawakin,SD,19.11,37.33,1602861219,86.72,70,0,10.29
198,abu samrah,SY,35.3,37.18,1602861219,72.68,30,0,4.52
199,naryan-mar,RU,67.67,53.09,1602861219,30,96,100,4.99
200,bushehr,IR,28.97,50.84,1602861219,87.8,38,0,11.41
201,souillac,MU,-20.52,57.52,1602861219,75.2,73,40,5.82
202,vostok,RU,46.49,135.88,1602861219,26.47,92,0,5.41
203,caravelas,BR,-17.71,-39.25,1602861219,75.97,86,99,7.36
204,victoria,HK,22.29,114.16,1602860992,80.01,78,31,5.01
205,ambon,ID,-3.7,128.18,1602860954,78.01,15,100,9.89
206,juruti,BR,-2.15,-56.09,1602861220,96.06,36,30,6.35
207,kharan,PK,28.58,65.42,1602861220,65.25,20,0,4.81
208,laurel,US,39.1,-76.85,1602861220,55,87,90,8.23
209,salinopolis,BR,-0.61,-47.36,1602861220,85.5,64,37,11.21
210,pontal do parana,BR,-25.65,-48.51,1602861221,63,72,75,10.29
211,vila,PT,42.03,-8.16,1602861221,62.01,52,85,8.99
212,baghpat,IN,28.95,77.22,1602861221,86,32,0,3.56
213,meulaboh,ID,4.14,96.13,1602861007,78.6,83,74,1.07
214,lorengau,PG,-2.02,147.27,1602861221,81.16,75,100,5.86
215,ust-maya,RU,60.42,134.53,1602861221,15.69,93,85,3.02
216,plattsburgh,US,44.7,-73.45,1602861221,50,93,90,2.01
217,pemba,MZ,-12.97,40.52,1602861221,82,78,20,13.87
218,buchanan,LR,5.88,-10.05,1602861222,84.2,79,75,6.93
219,taltal,CL,-25.4,-70.48,1602861222,64.8,59,17,6.85
220,ankang,CN,32.68,109.02,1602861191,57.99,34,22,10
221,buraydah,SA,26.33,43.98,1602861222,89.6,17,0,5.82
222,sand springs,US,36.14,-96.11,1602861222,57.99,54,1,3.42
223,mount gambier,AU,-37.83,140.77,1602861222,55.4,93,90,4.7
224,aleksandrov gay,RU,50.15,48.57,1602860977,63.46,59,79,9.62
225,price,US,39.6,-110.81,1602861223,39.2,27,1,4.7
226,vila velha,BR,-20.33,-40.29,1602861223,80.01,65,75,16.11
227,stephenville,US,32.22,-98.2,1602861223,57,47,1,11.41
228,beyneu,KZ,45.32,55.2,1602860977,62.2,29,34,8.66
229,vestmannaeyjar,IS,63.44,-20.27,1602861223,48.2,61,20,13.87
230,wewak,PG,-3.55,143.63,1602861223,77.67,87,100,7.18
231,leningradskiy,RU,69.38,178.42,1602861223,34.14,91,94,13.09
232,lompoc,US,34.64,-120.46,1602861211,64.4,71,1,5.82
233,kotido,UG,2.98,34.13,1602861224,83.64,38,41,7.96
